logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-12345.479465998471,-11339.229441919892,-11308.67070371565,-10379.899993697296
-599.8005406043321,-723.2885878153652,-611.0764506005819,-760.7024610668767
-10325.537955230331,-11516.799493216577,-9643.105159111214,-10706.423859138766
-412.5466275117467,-737.8502743012441,-371.38876205734374,-645.4421247202057
-16963.074191681164,-18378.816168452882,-17597.02981404286,-19285.978697881324
-5661.542933190448,-7331.161500655303,-5200.8208566475005,-6696.9231098696355
-77339.60080167577,-78545.1748248448,-68489.76345465139,-69402.01465032599
-2010.7294087585622,-1621.633912600858,-1932.3756686766308,-1533.8581763146628
-10512.435535818653,-11052.201142981668,-11156.228503177157,-11755.954384851007
-5451.582437558391,-5120.6605324484635,-5411.6437495686605,-5055.90074481349
-17563.579519068386,-18609.67538778004,-18248.646796193407,-19519.556608887346
-14396.79360235423,-14441.465007664561,-13215.006082600643,-13225.319102109459
-1124.8585391536146,-1020.0893931162638,-985.5621287080075,-962.2605750497346
-108631.75399413181,-114478.16118235097,-94499.9238552292,-98699.14404979981
-77879.63695257208,-78138.78344976912,-87659.91308913013,-87949.56238133938
-271308.06996567233,-277102.7427107762,-220952.7643426819,-224249.00815074763
-2777.2579422476356,-3068.8442640551452,-2732.613204042669,-3068.185147789687
-482.64901873441994,-1217.7005675750754,-483.83375565101795,-1238.5566082621804
-4527.200424253433,-5319.921005234652,-4296.799483673572,-5146.099882745293
-568.2923602429815,-834.3603017894461,-538.8972567601797,-851.0944447385659
-248236.34757119126,-260273.58714127372,-202414.75197470395,-209937.1521567772
-44117.98104701546,-47609.855264556,-48117.37356106848,-52364.18458430794
-103.7855951749388,-402.06003672446127,-99.02314985689534,-396.1972149167827
-27486.46756185934,-31425.1348098685,-29294.43436904158,-33907.576145982974
-424.8600775682833,-1078.5762294288236,-392.2951500768207,-1047.7702200197539
-22612.022052657034,-22179.019771329502,-23778.61535217854,-23225.47355056798
-60167.328164068735,-56474.71583264069,-67742.47609026823,-63092.39330189951
-162881.1027017341,-175428.90619229004,-138840.01724267547,-147623.86924485012
-106692.38941564855,-100016.69806977584,-93348.85944412752,-88237.47763629587
-1581.395088625976,-1208.5879677806586,-1721.5663088558313,-1255.0670965263469
-25003.26971225216,-21211.581121498944,-26862.46167985089,-22446.329413148345
-147829.21956703035,-148039.9701350067,-178764.7125928735,-179495.17757093222
-142599.13533255184,-156847.4235094613,-120797.8039776095,-130721.56641274875
-76441.79527703526,-76660.08493843031,-86796.41000703194,-87203.52209928642
-126551.85573561846,-134470.48054391754,-109092.36344185568,-114885.03165272773
-57669.07439718143,-58602.80409954477,-51559.256763824706,-52162.82373749467
-86548.78286071187,-82487.07940034244,-99249.33313551977,-93836.04594991606
-345635.9307547648,-358677.1750654384,-275759.09412244696,-283485.8324200756
