logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-6752.452577907698,-7201.726840278003,-5978.660225243474,-6326.14242248676
-200.0499450400973,-265.5787429920549,-185.255626296687,-253.29194220165863
-3316.1380590226777,-3240.734064634741,-3028.2551194701523,-2960.005109055991
-105.86335941807395,-170.61027454107105,-103.0029664873624,-168.49984791732015
-8182.48529700295,-8762.01840025297,-9588.52937949334,-10414.94159284772
-3360.299054974776,-4347.579113185503,-3037.7669590520386,-3821.7982315792756
-21506.87322300263,-21831.047599714493,-17426.676743594566,-17575.337679492983
-2535.22779504621,-2416.736238699771,-2808.3390703771997,-2663.9332878849073
-1616.4803947872408,-1755.7816999654106,-1726.6163539620254,-1907.8292629806206
-1979.2769934646692,-2038.5904410397193,-2106.021941645237,-2150.494478843683
-5795.391653402467,-6129.299840926693,-6580.981669322691,-6995.973804597251
-7075.463555827982,-7583.040436260437,-6171.355455155872,-6541.385735143187
-2297.086238393545,-2170.8165690648243,-2453.791261850622,-2308.8929047537067
-24698.68437355773,-25466.090639980368,-19860.25427591421,-20616.25945931158
-21979.973433034316,-21777.444955520576,-28975.04328239144,-28641.47482107698
-96399.80265002813,-100332.47578704635,-66819.03853856635,-68571.25669173988
-1238.1305383607887,-1183.3743435963518,-1319.7111937197826,-1261.7457056051305
-66.41757799671582,-189.34037018210543,-63.38534003326714,-191.68414048324877
-3574.977529186914,-4019.621329603137,-3894.476165032854,-4440.7332097135295
-1966.847480721326,-2274.9270324056715,-2177.943010853045,-2559.8341360519594
-97345.86962811186,-95533.23692932897,-66527.189772516,-65466.92342328997
-8632.942516284382,-9058.092600291815,-10184.61819427129,-10718.032750829681
-316.48255308069486,-218.76228581899917,-330.754099641438,-227.86436001721933
-7046.063652576463,-8020.9103882455465,-8176.722465941131,-9565.199183956873
-397.95285052039884,-727.0294220057687,-408.5954497824973,-768.889412544952
-5300.611349958405,-5529.008527658025,-5958.606668550445,-6232.922371338932
-9479.726400161664,-9348.025165012623,-11285.270042714166,-11169.683849523859
-49640.53682350078,-54573.37531259151,-37012.84135555273,-39603.84970933923
-21399.415268377514,-20481.190678904575,-17525.601956317772,-16851.3673465315
-38.9642023012851,-110.58716699053818,-40.46272237378046,-111.93206213819015
-5896.001585916911,-5670.307279512605,-6727.133578035057,-6426.460634800094
